Contratada,"Nº Processo","Tipo de contrato","Tipo de processo","Data do Ateste","Data do Pagamento","Nº Empenho","Tipo Rubrica",PTRES,"Nº Ordem Bancária",Justificativa,Tema,"IDN Nota Fiscal","Nº Nota Fiscal","Valor bruto da contratada","Valor líquido da contratada","Veículo / Fornecedor","Valor bruto do fornecedor","Valor líquido do fornecedor","Nome fantasia do veículo","Grupo / Editora",Meios,"Tipo da praça de veiculação","Praças de Veiculação"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004118/2019-73,Publicidade,Midia,2019/12/18,2019/12/30,2019NE800085,Institucional,107783,2019OB801448/1420,,"Brasil no exterior II - Pós-prorrogação contratual",318881,13194,128302.97,125362.89,"611580904(USA) / US MEDIA CONSULTING LLC",107956.41,107956.41,"US MEDIA CONSULTING LLC - INTERNACIONAL",,"Mídia Exterior Digital",Exterior,"REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004119/2019-18,Publicidade,Midia,2019/12/18,2019/12/30,2019NE800085,Institucional,107783,2019OB801447/1421,,"Brasil no exterior II - Pós-prorrogação contratual",319399,13254,110371.7,107853.01,"133417984(USA) / BLOOMBERG LP",92941.35,92941.35,"BLOOMBERG LP",,Televisão,Exterior,PORTUGAL
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004132/2019-77,Publicidade,Midia,2019/12/18,2019/12/30,2019NE800085,Institucional,107783,2019OB801449/1423,,"Brasil no exterior II - Pós-prorrogação contratual",319601,13405,134456.37,131368.96,"133417984(USA) / BLOOMBERG LP",113090.23,113090.23,"BLOOMBERG LP",,Televisão,Exterior,PORTUGAL
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319880,13435,1449,1441.92,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1400,1400,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319887,13442,313.09,311.56,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",302.5,302.5,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319886,13441,284.63,283.24,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",275,275,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319885,13440,3073.95,3058.93,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",2970,2970,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319884,13439,2794.5,2780.84,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",2700,2700,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319883,13438,1075.88,1070.62,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1039.5,1039.5,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319882,13437,978.08,973.3,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",945,945,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004082/2019-28,Publicidade,Produção,2019/12/13,2019/12/27,2019NE800085,Institucional,107783,2019OB801424,,"MATERIAIS INSTITUCIONAIS 2019",319881,13436,1593.9,1586.11,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1540,1540,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004100/2019-71,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800085,Institucional,107783,2019OB801426,,"Brasil no exterior II - Pós-prorrogação contratual",318654,13156,6800,6800,"34.301.817/0001-11 / R M PRODUCOES EIRELI",6800,6800,,,"AUDIO E VIDEO - PRODUCAO / GRAVACAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004100/2019-71,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800124,"Utilidade Pública",159685,2019OB801426,,"Censo Experimental 2019",320341,13534,25050,25050,"07.767.617/0001-86 / ESTUDIO JAZZ EIRELI",25050,25050,,,"IMAGEM - PRODUCAO DE FOTO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004100/2019-71,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800124,"Utilidade Pública",159685,2019OB801426,,"Censo Experimental 2019",320337,13530,850,850,"15.871.177/0001-30 / PICTURE HOUSE PRODUCOES EIRELI",850,769.67,,,"IMAGEM - LOCACAO DE FOTO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004101/2019-16,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800085,Institucional,107783,2019OB801427,,"MATERIAIS INSTITUCIONAIS 2019",320338,13531,1086.75,1081.44,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1050,1050,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004101/2019-16,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800085,Institucional,107783,2019OB801427,,"MATERIAIS INSTITUCIONAIS 2019",320340,13533,1195.43,1189.59,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",1155,1155,,,"PRODUCAO GRAFICA - AQUISICAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004101/2019-16,Publicidade,Produção,2019/12/16,2019/12/27,2019NE800085,Institucional,107783,2019OB801427,,"MATERIAIS INSTITUCIONAIS 2019",320339,13532,484.57,482.2,"03.975.626/0001-01 / M P LETREIROS E BRINDES EIRELI",468.18,468.18,,,"PRODUCAO GRAFICA - PRODUCAO / CONFECCAO",,
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320588,13586,147562.8,144196.04,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",124263.42,112520.53,Teads.tv,,Internet,Exterior,"FRANCA,ALEMANHA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Brasil no exterior II - Pós-prorrogação contratual",320336,13529,46512,45450.79,"27.675.015/0001-06 / PEMILIR TRADE BRASIL PUBLICIDADE EIRELI",39168,35466.62,"BLIS - INTERNACIONAL",,Internet,Exterior,"FRANCA,ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800124,"Utilidade Pública",159685,2019OB801445,,"Censo Experimental 2019",320596,13593,10593.45,10351.75,"04.455.894/0001-65 / FUNDACAO TELEVISAO EDUCATIVA DE POCOS DE CALDAS",8920.8,8920.8,"TV POÇOS",,Televisão,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800124,"Utilidade Pública",159685,2019OB801445,,"Censo Experimental 2019",320595,13592,2085.82,2038.23,"60.303.914/0001-53 / PLANALTO - FM STEREO SOM S.A.",1756.51,1590.52,"NATIVA FM - POÇOS DE CALDAS/MG",BAND,Rádio,Regional,"POCOS DE CALDAS - MG"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320594,13591,60224.06,58850,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",50715,45922.43,Teads.tv,,Internet,Exterior,"FRANCA,ESTADOS UNIDOS"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320593,13590,5054.68,4939.35,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",4256.58,3854.33,Teads.tv,,Internet,Exterior,"NORUEGA,PAISES BAIXOS HOLANDA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320591,13589,34338.93,33555.46,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",28917,26184.34,Teads.tv,,Internet,Exterior,"NORUEGA,PAISES BAIXOS HOLANDA"
"04.784.569/0002-27 / CALIA/Y2 PROPAGANDA E MARKETING LTDA.",00170.004130/2019-88,Publicidade,Midia,2019/12/18,2019/12/27,2019NE800085,Institucional,107783,2019OB801445,,"Ação de oportunidade - Dia da Amazônia",320590,13588,76308.75,74567.7,"22.605.990/0001-24 / TEADS BRASIL SOLUCOES EM PROPAGANDA E VIDEO LIMITADA",64260,58187.43,Teads.tv,,Internet,Exterior,"REINO UNIDO DA GRA-BRETANHA E IRLANDA DO NORTE"
