"DESCRITIVO MEDICAMENTO","UNIDADE DE COMPRA","ATA / CONTRATO","PROCESSO LICITATÓRIO SESAU"
"Atropina sulfato, dosagem: 0,25 mg/ml, uso: solução injetável","amp 1 ml","SEM ATA",E:02000.0000001577/2021
"Cisatracúrio besilato, concentração: 2 mg/ml, forma farmaceutica: solução injetável","amp 5 mL","Contrato nº 348/2021",E:02000.0000025007/2020
"Dexmedetomidina cloridrato, concentraçao: 100 mcg/ml, forma farmaceutica: solução injetável","frasco c/ 2 mL","ARP MS 006/2021",E:02000.0000024490/2020
,,,
,,"ARP MS 099/2021",
,,,
,,"ARP MS 100/2021",
"Dextrocetamina cloridrato, concentração: 50 mg/ml, forma farmacêutica: solução injetável","frasco c/ 10 mL","SEM ATA",E:02000.0000024490/2020
"Dextrocetamina cloridrato, concentração: 50 mg/ml, forma farmacêutica: solução injetável","amp 2 mL","Contrato nº 358/2021",E:02000.0000024490/2020
"Diazepam, dosagem: 5 mg/ml, apresentação: solução injetável","amp 2 mL","ARP MS 132/2020",E:02000.0000007884/2021
"Epinefrina, dosagem: 1mg/ml, uso: solução injetável","amp 1 mL","ARP MS 098/2020",E:02000.0000024148/2020
,,,
,,"Contrato nº 266/2021",
"Etomidato, dosagem: 2 mg/ml, apresentação: solução injetável","amp 10 mL","ARP MS 101/2020",E:02000.0000024148/2020
,,,
,,"ARP MS 131/2020",
,,,
,,"Contrato nº 267/2021",
"Fentanila, apresentação: sal citrato, dosagem: 0,05 mg/ml, indicação: solução injetável","amp 2mL","SEM ATA",E:02000.0000024490/2020
"Fentanila, apresentação: sal citrato, dosagem: 0,05 mg/ml, indicação: solução injetável","fr-amp 10 mL","SEM ATA",E:02000.0000024490/2020
"Haloperidol, concentração: 5 mg,ml, tipo uso: solução injetável","amp 1 mL","SEM ATA",E:02000.0000007896/2021
"Lidocaína cloridrato, dosagem: 2%, apresentação: injetável","fr-amp 20 mL (embalagem esterilizada)","SEM ATA",E:02000.0000024490/2020
"Midazolam, dosagem: 5 mg,ml, aplicação: injetável","amp 3 mL","SEM ATA",E:02000.0000024490/2020
"Midazolam, dosagem: 5 mg,ml, aplicação: injetável","amp 10 mL","SEM ATA",E:02000.0000024490/2020
"Morfina, apresentação: sulfato, concentração: 10mg,ml, forma farmacêutica: solução injetável","amp 1 mL","ARP MS 101/2020 ",E:02000.0000007884/2021
"Naloxona cloridrato, dosagem: 0,4 mg,ml, apresentação: solução injetável","amp 1 mL","SEM ATA",E:02000.0000025007/2020
"Norepinefrina (Sal Bitartarato)","amp 4 mL","Contrato nº 038/2021 ",E:02000.0000024346/2020
,,,
,,"Contrato nº 248/2021",
"Propofol, dosagem: 10 mg,ml, forma farmacêutica: emulsão injetável","amp 20 mL","SEM ATA",E:02000.0000025007/2020
"Propofol, dosagem: 10 mg,ml, forma farmacêutica: emulsão injetável","fr-amp 100 mL","SEM ATA",E:02000.0000025007/2020
"Rocurônio brometo, dosagem: 10 mg,ml, indicação: solução injetável","fr-amp 5 mL","Contrato nº 348/2021",E:02000.0000025007/2020
"Suxametônio cloreto, dosagem: 100 mg, indicação: injetável","fr-amp 5 mL","ARP 045/2020 ",E:02000.0000025007/2020
,,,
,,"ARP 039/2020",
,,,
,,"ARP MS 097/2020",


,,,,,,,,145,113478,153,499,763,26.4,531,880,66,168,60,27,39.6,3.5,9,,"Oxigenio Liquido Caminh Tanque QTD em (M3)",(Tudo),,,,
UNIDADES,"Nota Fiscal",Subtração,Fórmula,"Numero  Documento",SÉRIE,"Valor  Bruto",Emissão,"Oxigenio Medicinal Carga Cil G","Oxigenio Liquido Caminh Tanque QTD em (M3)","Loc Cil Grab'n Go Viproxy","Carga O2 Grabn Go Viproxy","Oxigenio Medicinal Cil K 7M3 (M3)","Nitrogenio Gas Cil K 6.6M3 (M3)","Oxigenio Medicinal Cil PP","Oxigenio Medicinal Cil T 10M3","Oxido Nitroso Cil T 33 KG","Oxido Nitroso Cil K 28 KG","Ar Medicinal Cil PP NC","Nitrogenio Gas Cil T 9M3","Ar Medicinal Cil K 6,6M3 NC","Oxigenio Medicinal Cil Q 3.5M3","Nitrogenio 4.6 Cil T 9M3 Padrao Gases Puros",,"Oxigenio Medicinal Carga Cil G",(Tudo),,,,
"Hospital da Mulher",921,3,5,92106,40,129.94,2021/01/01,5,,,3,,,,,,,,,,,,,"Carga O2 Grabn Go Viproxy",(Tudo),,,,
HGE,922,3,5,92206,40,338.48,2021/01/01,,,,5,,6.6,,,,,,,,,,,"Oxigenio Medicinal Cil PP",(Tudo),,,,
"SAMU MACEIÓ",919,3,5,91906,40,81.21,2021/01/01,,,,5,,,,,,,,,,,,,"Oxigenio Medicinal Cil Q 3.5M3",(Tudo),,,,
"SAMU MACEIÓ",6925,4,6,692510,48,377.9,2021/01/02,,,,10,,,9,,,,8,,,,,,"Oxigenio Medicinal Cil T 10M3",(Tudo),,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",275,3,5,27509,46,23158.68,2021/01/02,,1308,,,,,,,,,,,,,,,,,,,,
HGE,927,3,5,92706,40,32.48,2021/01/02,,,,2,,,,,,,,,,,,,"Soma de Oxigenio Medicinal Carga Cil G","Soma de Oxigenio Liquido Caminh Tanque QTD em (M3)","Soma de Carga O2 Grabn Go Viproxy","Soma de Oxigenio Medicinal Cil PP","Soma de Oxigenio Medicinal Cil Q 3.5M3","Soma de Oxigenio Medicinal Cil T 10M3"
"H.Metropolitano de Alagoas",6932,4,6,693210,48,64.97,2021/01/02,4,,,,,,,,,,,,,,,,145,113478,499,531,3.5,880
"Hospital da Mulher",931,3,5,93106,40,64.97,2021/01/03,1,,,3,,,,,,,,,,,,,,,,,,
HGE,933,3,5,93306,40,64.97,2021/01/03,,,,1,,,3,,,,,,,,,,"SOMA 02 GASOSO",2058.5,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96563,5,7,9656302,200,146.18,2021/01/04,,,,9,,,,,,,,,,,,,"SOMA 02 LÍQUIDO",113478,,,,
"H.Metropolitano de Alagoas",6940,4,6,694010,48,81.21,2021/01/04,5,,,,,,,,,,,,,,,,,,,,,
HGE,940,3,5,94006,40,210.81,2021/01/04,,,,8,,,,10,,,,,,,,,,,,,,
"UNIDADE DE EMERGENCIA DR DANIEL HOULY",96568,5,7,9656802,200,350.82,2021/01/04,,,,,,,,,,,,9,,,,,,,,,,
"Hospital da Mulher",937,3,5,93706,40,16.24,2021/01/04,,,,1,,,,,,,,,,,,,,,,,,
