Período,"Quantidade de Pagamentos servidores em atividade","Situação Funcional","Sigla Carreira","Nome Carreira","Valor de Despesa de Pessoal sem encargos patronais","Valor de Despesa de Pessoal com encargos patronais"
2020/03/01,56,Efetivo,MADS,"MEDICO DA AREA DE DEFESA SOCIAL",578185.2599999999,659013.3799999999
2020/03/01,15,Efetivo,TEPS,"TECNICO EM EDUCACAO E PESQUISA EM SAUDE",36706.2,44972.40999999999
2020/03/01,44,"Contrato Temporário",AUS,"ANALISTA UNIVERSITARIO DA SAUDE",111445.04999999999,135845.76
2020/03/01,1459,Efetivo,MED,MEDICO,16320924.230000004,19511004.880000006
2020/03/01,557,"Contrato Temporário",TOS,"TECNICO OPERACIONAL DA SAUDE",1183999.5199999998,1463878.2100000002
2020/03/01,387,Efetivo,TST,"TECNICO DE SAUDE E TECNOLOGIA",1355192.2200000004,1580806.8200000005
2020/03/01,465,Efetivo,TUS,"TECNICO UNIVERSITARIO DA SAUDE",1367489.74,1588810.5600000005
2020/03/01,806,"Contrato Temporário",MED,MEDICO,6185505.350000003,7583169.409999996
2020/03/01,473,Efetivo,ANSS,"ANALISTA DE SEGURIDADE SOCIAL",2558487.5400000014,3108697.8099999963
2020/03/01,674,Efetivo,TGS,"TECNICO DE GESTAO DA SAUDE",1908986.6400000036,2432435.3799999994
2020/03/01,93,Efetivo,MEDUN,"MEDICO UNIVERSITARIO",522934.6299999998,623559.1899999998
2020/03/01,24,Efetivo,AUHH,"AUXILIAR DE HEMATOLOGIA E HEMOTERAPIA",103651.61000000002,129741.38999999998
2020/03/01,201,Efetivo,ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",1305336.5699999996,1531452.29
2020/03/01,5216,Efetivo,PENF,"PROFISSIONAL DE ENFERMAGEM",18266916.959999986,21936160.08999999
2020/03/01,1018,Efetivo,AUSS,"AUXILIAR DE SEGURIDADE SOCIAL",3531766.1900000004,4368133.71
2020/03/01,258,Efetivo,AAS,"ANALISTA DE ATENCAO A SAUDE",1224668.2400000002,1586449.2100000002
2020/03/01,598,Efetivo,TSS,"TECNICO DE SEGURIDADE SOCIAL",1515088.320000002,1817431.0099999995
2020/03/01,123,Efetivo,MP,"MEDICO PERITO",707995.5399999996,858939.1000000002
2020/03/01,15,"Contrato Temporário",MEDHH,"MEDICO DA AREA DE HEMATOLOGIA E HEMOTERAPIA",120932.26000000001,146298.58
2020/03/01,273,Efetivo,AST,"ANALISTA E PESQUISADOR DE SAUDE E TECNOLOGIA",2141942.990000001,2577187.83
2020/03/01,488,Efetivo,MAGAS,"MEDICO DA AREA DE GESTAO E ATENCAO A SAUDE",3517900.5600000015,4300408.420000001
2020/03/01,1854,Efetivo,TOS,"TECNICO OPERACIONAL DA SAUDE",5498833.099999995,6597739.440000001
2020/03/01,137,Efetivo,AUS,"ANALISTA UNIVERSITARIO DA SAUDE",615845.12,707824.5
2020/03/01,1008,"Contrato Temporário",PENF,"PROFISSIONAL DE ENFERMAGEM",3165440.36,3904134.859999997
2020/03/01,631,"Contrato Temporário",MEDRE,"MEDICO RESIDENTE",2099280.9899999998,2105246.369999999
2020/03/01,50,Efetivo,AUST,"AUXILIAR DE SAUDE E TECNOLOGIA",191673.87999999995,240109.06
2020/03/01,50,"Contrato Temporário",ANHH,"ANALISTA DE HEMATOLOGIA E HEMOTERAPIA",212220.82000000004,256182.37999999998
2020/03/01,272,"Contrato Temporário",AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",1248763.1199999999,1533219.8900000001
2020/03/01,56,Efetivo,AEPS,"ANALISTA EM EDUCACAO E PESQUISA EM SAUDE",372010.36000000016,452552.38
2020/03/01,429,Efetivo,AUAS,"AUXILIAR DE APOIO DA SAUDE",1554814.2999999998,1974410.2199999995
2020/03/01,734,Efetivo,AUGAS,"AUXILIAR DE APOIO A GESTAO E ATENCAO A SAUDE",1723188.2900000003,2206616.7399999984
2020/03/01,1383,Efetivo,EPGS,"ESPECIALISTA EM POLITICAS E GESTAO DA SAUDE",8492753.63000001,10416160.260000015
2020/03/01,989,Efetivo,AGAS,"ANALISTA DE GESTAO E ASSISTENCIA A SAUDE",5943431.530000002,7159978.159999993
2020/03/01,18,"Contrato Temporário",MP,"MEDICO PERITO",82727.91999999998,101313.27000000002
2020/03/01,438,Efetivo,ATHH,"ASSISTENTE TECNICO DE HEMATOLOGIA E HEMOTERAPIA",1730879.5,2015532.5000000007
2020/03/01,341,Efetivo,MEDSS,"MEDICO DA AREA DE SEGURIDADE SOCIAL",4487202.270000004,5242151.679999999
