UO,IJ,"PROCESSO ADMINISTRATIVO","PROCESSO PAGAMENTO","PROTEÇÃO SOCIAL",PROGRAMA,FAVORECIDO,IDENTIFICAÇÃO,FONTE,NE,NPD,"MÊS PARCELA",VENCIMENTO,VALOR,CONTA,"DATA BORDERÔ",BORDERÔ,"STATUS DA PRESTAÇÃO DE CONTAS",OBSERVAÇÃO
1011,01.2018.1011.0010,01.120208.18.99,01.087960.20.47,PSE-MC,"Aporte extra COVID-19","Associação de Pais e Amigos dos Excepcionais - APAE BH","Serviço de Proteção Social Especial para Pessoas com Deficiência, Idosas e suas Famílias / CREAS",40.129,5947,6767,2020/11/01,2020/12/07,311760,22010-8,2020/12/30,32528,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMAS/BH Nº 020/2020"
1013,01.2014.1011.0022,01.068225.14.69,01.034371.20.48,FMDCA,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Hosana/Unidade III",30.278,77,160,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0019,01.048142.15.61,01.034370.20.85,FMDCA,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Emanuel/Unidade II",30.278,76,159,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2015.1011.0020,01.048130.15.82,01.034368.20.33,FMDCA,"Aporte extra COVID-19","Abrigo Lar Cristão de Belo Horizonte","Casa Gênesis/Unidade I ",30.278,75,158,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0007,01.036501.14.84,01.034382.20.64,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Chamamento 01/2014 - Casa Esperança I",30.278,78,161,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0018,01.078709.14.61,01.034378.20.97,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","UAI TVR - Unid. Acol. Inst. Trajetória nas Rua / Casa Esperança III",30.278,79,162,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0021,01.096523.14.85,01.034705.20.00,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança II",30.278,80,163,2020/04/01,2020/04/01,30000,71112-4,2020/05/12,12138,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0028,01.132174.14.42,01.034713.20.20,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança V",30.278,123,218,2020/04/01,2020/04/01,30000,71112-4,2020/05/19,12733,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0032,01.132175.14.05,01.034709.20.52,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança VI",30.278,121,212,2020/04/01,2020/04/01,30000,71112-4,2020/05/14,12234,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
1013,01.2014.1011.0033,01.132177.14.30,01.034711.20.02,FMDCA,"Aporte extra COVID-19","Agência Adventista de Desenvolvimento e Recursos Assistenciais Sudeste Brasileira","Casa Esperança IV",30.278,122,211,2020/04/01,2020/04/01,30000,71112-4,2020/05/14,12234,REGULAR,"Repasse regulamentado pela RESOLUÇÃO CMDCA/BH Nº 183/2020"
